RF00001	5S_rRNA	5S ribosomal RNA	Gene; rRNA;	119
RF00002	5_8S_rRNA	5.8S ribosomal RNA	Gene; rRNA;	154
RF00003	U1	U1 spliceosomal RNA	Gene; snRNA; splicing;	166
RF00004	U2	U2 spliceosomal RNA	Gene; snRNA; splicing;	193
RF00005	tRNA	tRNA	Gene; tRNA;	71
RF00006	Vault	Vault RNA	Gene;	101
RF00007	U12	U12 minor spliceosomal RNA	Gene; snRNA; splicing;	155
RF00008	Hammerhead_3	Hammerhead ribozyme (type III)	Gene; ribozyme;	58
RF00009	RNaseP_nuc	Nuclear RNase P	Gene; ribozyme;	303
RF00010	RNaseP_bact_a	Bacterial RNase P class A	Gene; ribozyme;	367
RF00011	RNaseP_bact_b	Bacterial RNase P class B	Gene; ribozyme;	366
RF00012	U3	Small nucleolar RNA U3	Gene; snRNA; snoRNA; CD-box;	218
RF00013	6S	6S / SsrS RNA	Gene;	188
RF00014	DsrA	DsrA RNA	Gene; sRNA;	85
RF00015	U4	U4 spliceosomal RNA	Gene; snRNA; splicing;	140
RF00016	SNORD14	Small nucleolar RNA SNORD14	Gene; snRNA; snoRNA; CD-box;	116
RF00017	Metazoa_SRP	Metazoan signal recognition particle RNA	Gene;	301
RF00018	CsrB	CsrB/RsmB RNA family	Gene; sRNA;	356
RF00019	Y_RNA	Y RNA	Gene;	98
RF00020	U5	U5 spliceosomal RNA	Gene; snRNA; splicing;	116
RF00021	Spot_42	Spot 42 RNA	Gene; sRNA;	115
RF00022	GcvB	GcvB RNA	Gene;	198
RF00023	tmRNA	transfer-messenger RNA	Gene;	354
RF00024	Telomerase-vert	Vertebrate telomerase RNA	Gene;	436
RF00025	Telomerase-cil	Ciliate telomerase RNA	Gene;	178
RF00026	U6	U6 spliceosomal RNA	Gene; snRNA; splicing;	104
RF00027	let-7	let-7 microRNA precursor	Gene; miRNA;	84
RF00028	Intron_gpI	Group I catalytic intron	Intron;	251
RF00029	Intron_gpII	Group II catalytic intron	Intron;	93
RF00030	RNase_MRP	RNase MRP	Gene; ribozyme;	266
RF00031	SECIS_1	Selenocysteine insertion sequence 1	Cis-reg;	64
RF00032	Histone3	Histone 3' UTR stem-loop	Cis-reg;	46
RF00033	MicF	MicF RNA	Gene; antisense;	94
RF00034	RprA	RprA RNA	Gene; sRNA;	108
RF00035	OxyS	OxyS RNA	Gene; sRNA;	110
RF00036	RRE	HIV Rev response element	Cis-reg;	337
RF00037	IRE_I	Iron response element I	Cis-reg;	36
RF00038	PrfA	PrfA thermoregulator UTR	Cis-reg; thermoregulator;	132
RF00039	DicF	DicF RNA	Gene; antisense;	52
RF00040	rne5	RNase E 5' UTR element	Cis-reg;	334
RF00041	Entero_OriR	Enteroviral 3' UTR element	Cis-reg;	121
RF00042	CopA	CopA-like RNA	Gene; antisense;	92
RF00043	Plasmid_R1162	R1162-like plasmid antisense RNA	Gene; antisense;	75
RF00044	Phage_pRNA	Bacteriophage pRNA	Gene;	244
RF00045	SNORA73	Small nucleolar RNA SNORA73 family	Gene; snRNA; snoRNA; HACA-box;	219
RF00046	snoR30	Small nucleolar RNA R30/Z108	Gene; snRNA; snoRNA; CD-box;	96
RF00047	mir-2	mir-2 microRNA precursor	Gene; miRNA;	72
RF00048	Entero_CRE	Enterovirus cis-acting replication element	Cis-reg;	61
RF00049	SNORD36	Small nucleolar RNA SNORD36	Gene; snRNA; snoRNA; CD-box;	77
RF00050	FMN	FMN riboswitch (RFN element)	Cis-reg; riboswitch;	140
RF00051	mir-17	mir-17 microRNA precursor family	Gene; miRNA;	82
RF00052	lin-4	lin-4 microRNA precursor	Gene; miRNA;	71
RF00053	mir-7	mir-7 microRNA precursor	Gene; miRNA;	88
