"rfam_acc","description","clen"
"RF02543","Eukaryotic large subunit ribosomal RNA",3401
"RF02540","Archaeal large subunit ribosomal RNA",2990
"RF02541","Bacterial large subunit ribosomal RNA",2925
"RF02462","Ascomycota telomerase RNA",1859
"RF01960","Eukaryotic small subunit ribosomal RNA",1851
"RF00177","Bacterial small subunit ribosomal RNA",1533
"RF01959","Archaeal small subunit ribosomal RNA",1477
"RF02542","Microsporidia small subunit ribosomal RNA",1312
"RF01050","Saccharomyces telomerase",1208
"RF01272","Small nucleolar RNA snR86",1008
"RF02746","antisense RNA of rseC mRNA",886
"RF02088","Enterobacterial sRNA STnc510",807
"RF01800","growth arrested DNA-damage inducible gene 7",754
"RF03079","MISL RNA",747
"RF01825","RNA of unknown function 21",690
"RF02576","tsr1 small RNA",657
"RF00943","microRNA MIR824",654
"RF02627","Shigella small RNA 1",654
"RF02611","Brucella sRNA 0653",642
"RF01577","Plasmodium RNase_P",626
"RF02636","Enterococcus sRNA EF1368_EF1369",626
"RF02545","Trypanosomatid mitochondrial small subunit ribosomal RNA",623
"RF00549","c-sis internal ribosome entry site (IRES)",621
"RF01071","Ornate Large Extremophilic RNA",616
"RF01271","Small nucleolar RNA snR30",612
"RF02743","Saccharopolyspora sRNA 389",595
"RF03087","ROOL RNA",580
"RF02658","Rhopalosiphum padi virus 5'UTR internal ribosome entry site",579
"RF00228","Hepatitis A virus internal ribosome entry site (IRES)",572
"RF00488","Yeast U1 spliceosomal RNA",569
"RF01270","Small nucleolar RNA snR84",568
"RF02546","Trypanosomatid mitochondrial large subunit ribosomal RNA",561
"RF01765","srg1",556
"RF00551","Bicoid 3'-UTR regulatory element",547
"RF01469","Listeria sRNA rli33",532
"RF01491","Listeria sRNA rli54",528
"RF00503","RNAIII",511
"RF01683","Pseudomonas sRNA P6",510
"RF01478","Listeria sRNA rli47",508
"RF02735","Saccharopolyspora sRNA 350",508
"RF00224","FGF-2 internal ribosome entry site (IRES)",498
"RF01473","Listeria sRNA rli41",494
"RF02738","Soft rot Enterobacteriaceae Rev 24 asRNA",489
"RF02739","Soft rot Enterobacteriaceae Rev 41 sRNA",480
"RF02639","Enterococcus sRNA EF0869_EF0870",474
"RF02400","Heat shock protein 83 3' UTR",470
"RF02267","Vax2os1 conserved region 2",466
"RF01946","KCNQ1 overlapping transcript 1 conserved region 1",464
"RF00210","Aphthovirus internal ribosome entry site (IRES)",462
"RF01052","Arthropod 7SK RNA",445
"RF02745","Soft rot Enterobacteriaceae Rev 42 5'UTR",443
"RF01818","RNA Staph. aureus C",440
"RF02032","Giant, ornate, lake- and Lactobacillales-derived (GOLLD) RNA",438
"RF00024","Vertebrate telomerase RNA",436
"RF02599","Brucella sRNA CI408",435
"RF02583","S. aureus Teg23 small RNA",433
"RF01460","Listeria sRNA rliH",429
"RF01766","cspA thermoregulator",428
"RF02742","Soft rot Enterobacteriaceae Rev 72 asRNA",426
"RF01824","RNA of unknown function 20",425
"RF01268","Small Cajal body-specific RNA 2",421
"RF02736","Soft rot Enterobacteriaceae Rev 11 asRNA",417
"RF02637","Enterococcus sRNA EF0408_EF0409",412
"RF01894","Prostate cancer antigen RNA 3 conserved region 2",409
"RF02664","Cyp24a1 internal ribosome entry site (IRES)",404
"RF01675","Pseudomonas sRNA CrcZ",398
"RF02417","VR-RNA",397
"RF02943","Bacteroidales-2 RNA",392
"RF02997","HOLDH RNA",391
"RF02660","icaR 3'UTR",390
"RF02575","Drosophila melanogaster stable intronic sequence RNA 1",389
"RF02081","Enterobacterial sRNA STnc550",388
"RF01267","Small nucleolar RNA snR37",385
"RF02405","Pseudomonas sRNA P34",383
"RF01877","Myocardial infarction associated transcript exon 5 conserved region 3",382
"RF02041","HOXA transcript at the distal tip, conserved region 2",374
